               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.053041,            0.024299,            0.010915,             0.74932,             0.29881,             0.33938,              0.1592,            0.050955,             0.01155,            0.018624,            0.006436,            0.006436,            0.006436
                  38,            0.052015,            0.024422,            0.009906,             0.67115,             0.35536,             0.34244,             0.15642,            0.049867,            0.011255,            0.016957,            0.006337,            0.006337,            0.006337
                  39,            0.053222,             0.02408,            0.010908,             0.67187,             0.33628,             0.34018,             0.12456,            0.052978,            0.010923,            0.018437,            0.006238,            0.006238,            0.006238
                  40,            0.051545,            0.024128,            0.010593,             0.70178,             0.37198,              0.3756,             0.15446,            0.050108,            0.010722,            0.018235,            0.006139,            0.006139,            0.006139
                  41,            0.051506,            0.023917,           0.0099015,             0.62045,             0.35171,             0.30205,             0.12383,            0.052133,            0.011796,            0.017864,             0.00604,             0.00604,             0.00604
                  42,            0.051418,            0.024214,             0.01036,             0.70318,             0.37685,             0.34919,             0.16417,            0.054183,            0.010718,            0.016501,            0.005941,            0.005941,            0.005941
                  43,            0.051373,            0.022757,            0.011015,             0.75455,             0.38522,             0.40246,             0.20498,            0.049836,            0.010235,            0.019605,            0.005842,            0.005842,            0.005842
                  44,            0.050548,            0.023534,           0.0089514,             0.74027,             0.39672,             0.39227,             0.19596,            0.051408,            0.010083,            0.018112,            0.005743,            0.005743,            0.005743
                  45,            0.050416,            0.023016,           0.0094855,             0.72592,             0.34815,             0.37287,             0.17981,            0.050891,            0.010784,            0.018148,            0.005644,            0.005644,            0.005644
                  46,            0.051401,            0.023251,            0.010256,             0.72287,             0.37072,             0.38184,             0.18354,            0.050841,           0.0097848,            0.017667,            0.005545,            0.005545,            0.005545
                  47,            0.051047,            0.023433,            0.009667,             0.69431,             0.38836,             0.35759,             0.18962,            0.052495,            0.010812,            0.015764,            0.005446,            0.005446,            0.005446
                  48,            0.050931,            0.023082,           0.0093226,             0.75552,             0.40872,             0.40288,             0.20106,            0.050871,            0.010446,            0.018431,            0.005347,            0.005347,            0.005347
                  49,            0.049758,            0.022803,            0.010014,              0.7197,             0.43515,             0.42479,             0.21776,            0.053541,           0.0093202,            0.018757,            0.005248,            0.005248,            0.005248
                  50,            0.048504,            0.022151,            0.011716,             0.77433,              0.3643,             0.39732,             0.20605,            0.053074,           0.0097232,            0.015818,            0.005149,            0.005149,            0.005149
                  51,            0.050014,            0.022005,           0.0089798,             0.72712,             0.45468,             0.40488,             0.20647,            0.052999,           0.0095455,            0.016101,             0.00505,             0.00505,             0.00505
                  52,            0.047149,            0.022415,           0.0089505,             0.76421,             0.42145,             0.42112,             0.21799,            0.052681,           0.0090643,            0.014846,            0.004951,            0.004951,            0.004951
                  53,            0.048582,            0.021646,           0.0088224,             0.76949,              0.4063,             0.42126,              0.2028,            0.049969,           0.0092471,            0.015891,            0.004852,            0.004852,            0.004852
                  54,            0.048106,            0.022192,            0.009689,             0.78581,             0.42938,             0.43869,              0.2214,            0.049421,            0.009071,            0.015734,            0.004753,            0.004753,            0.004753
                  55,            0.046777,             0.02214,           0.0073692,             0.73949,             0.38904,             0.39475,             0.20696,            0.048395,           0.0089866,            0.015926,            0.004654,            0.004654,            0.004654
                  56,            0.045967,            0.021956,            0.010821,             0.81322,             0.39548,             0.44523,             0.23595,            0.048207,           0.0089579,            0.017861,            0.004555,            0.004555,            0.004555
                  57,             0.04708,             0.02261,           0.0085256,             0.76486,             0.42655,             0.45906,             0.24211,            0.045305,             0.00918,            0.018706,            0.004456,            0.004456,            0.004456
                  58,            0.046571,            0.020936,            0.010294,             0.81649,             0.42191,              0.4505,             0.23429,            0.049589,           0.0095944,            0.016203,            0.004357,            0.004357,            0.004357
                  59,            0.046033,            0.021683,           0.0075361,             0.75135,             0.43026,             0.43393,             0.22435,            0.048456,           0.0089981,            0.016256,            0.004258,            0.004258,            0.004258
                  60,            0.046002,             0.02196,           0.0081786,             0.87709,             0.43015,             0.49198,             0.26536,            0.046374,           0.0086616,            0.016843,            0.004159,            0.004159,            0.004159
                  61,            0.046627,            0.021324,           0.0085417,              0.8288,             0.41453,             0.50399,             0.25649,            0.047513,           0.0089465,             0.01738,             0.00406,             0.00406,             0.00406
                  62,            0.046399,            0.021729,           0.0083583,             0.85205,             0.48287,             0.53327,             0.29034,            0.047058,           0.0084015,            0.017773,            0.003961,            0.003961,            0.003961
                  63,            0.046454,            0.020826,           0.0077576,             0.77548,             0.45091,             0.44986,              0.2523,             0.04698,           0.0085944,            0.016302,            0.003862,            0.003862,            0.003862
                  64,            0.044488,            0.021446,           0.0065777,             0.84568,               0.462,             0.58819,             0.32655,            0.047361,           0.0090414,            0.017095,            0.003763,            0.003763,            0.003763
                  65,            0.043275,            0.020245,           0.0065446,             0.80251,             0.45522,             0.47854,             0.26919,            0.046965,           0.0085408,            0.016608,            0.003664,            0.003664,            0.003664
                  66,            0.042772,            0.020422,           0.0073846,             0.86287,             0.45783,              0.5004,              0.2692,            0.047764,           0.0081439,            0.016302,            0.003565,            0.003565,            0.003565
                  67,             0.04531,            0.020886,           0.0069897,             0.88746,             0.47404,              0.5947,              0.3294,            0.047156,           0.0082641,            0.016505,            0.003466,            0.003466,            0.003466
                  68,            0.042489,            0.020933,           0.0061807,             0.85692,             0.48728,             0.54245,             0.28972,             0.04523,           0.0082892,            0.017215,            0.003367,            0.003367,            0.003367
                  69,            0.045271,            0.020744,           0.0089603,             0.78876,             0.47334,              0.4707,             0.26512,            0.043502,           0.0083468,            0.014749,            0.003268,            0.003268,            0.003268
                  70,             0.04411,            0.020943,           0.0088784,             0.86128,             0.48051,             0.49092,             0.26484,            0.044692,           0.0084421,            0.014606,            0.003169,            0.003169,            0.003169
                  71,            0.043015,            0.020484,           0.0070504,              0.7794,             0.48299,             0.46365,             0.25378,             0.04582,           0.0086642,            0.014682,             0.00307,             0.00307,             0.00307
                  72,            0.042787,            0.020819,           0.0071652,             0.86269,             0.46877,             0.52489,             0.26445,             0.04494,           0.0081959,            0.016427,            0.002971,            0.002971,            0.002971
                  73,            0.041412,            0.019791,           0.0072231,             0.86954,             0.43656,             0.49654,             0.26133,            0.045118,           0.0086471,            0.016695,            0.002872,            0.002872,            0.002872
                  74,            0.042444,            0.020466,           0.0071246,             0.83051,              0.4633,             0.54371,             0.29915,            0.044811,           0.0082295,            0.017855,            0.002773,            0.002773,            0.002773
                  75,            0.042137,            0.020385,           0.0067557,              0.7873,             0.43485,             0.48621,             0.27806,            0.044749,           0.0077898,            0.018324,            0.002674,            0.002674,            0.002674
                  76,            0.043408,            0.020223,           0.0070955,             0.83782,             0.45642,             0.58066,             0.32365,            0.045914,            0.008037,            0.017515,            0.002575,            0.002575,            0.002575
